time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-3.42451656945e-07,2.30064584834e-07,10.0057113813,0.000205443089294,6.28267442938,0.0,4.98452821374e-06,2.03933327593e-05,0.190366120166,0.00951769122476,-0.0368747979436,0.0,466.945179544925,464.060187557792,463.4978854948417,464.2450940103919
0.12000000000000001,1.76754189105e-05,8.66476745222e-06,10.0186302035,0.00169738539616,6.28024193532,0.0,0.000814101945833,0.000368278553083,0.2402513149,0.0450425344619,-0.0491230049551,0.0,421.572478455038,420.512002542905,418.9090739364071,421.9864800715687
0.18,0.000164740593062,9.26700305219e-05,10.0436052558,0.00425986135736,6.27747359899,0.0,0.00448499104038,0.00279902796531,0.592132959138,0.0375754661302,-0.0407559392361,0.0,510.28229410579996,510.8781612269738,511.1073609831733,510.5757306369388
0.23999999999999996,0.000582946115955,0.000373846412599,10.0856991861,0.00642482763744,6.2752231538,0.0,0.00973435185,0.00683737093566,0.810865167689,0.0329172544279,-0.031695870929,0.0,472.4817693548741,473.179060370369,474.3006956476912,473.94335207875963
0.3,0.00134036242344,0.000926279883671,10.1375418673,0.00889827671869,6.27331378206,0.0,0.0157083379496,0.0118093167177,0.917141103928,0.054096278701,-0.0320780134166,0.0,439.8100936103674,439.77806743738523,438.498616964987,440.2551186768897
0.36000000000000004,0.00247223982124,0.00181109703219,10.1934716127,0.0118118114498,6.27182228644,0.0,0.0221745024983,0.0179695891566,0.947154583696,0.0341847024062,-0.013344936101,0.0,413.330584143015,414.9778298561762,416.698206393242,414.95571595429556
0.4200000000000001,0.00411858424599,0.00322391243421,10.2600703679,0.0140532694007,6.27078198168,0.0,0.0328226525671,0.0294118983186,1.2724946859,0.0430475521113,-0.0268432081183,0.0,504.62757665003,503.65247533089735,504.1515540956975,504.79190952973374
0.48000000000000015,0.00641567074046,0.00536382458678,10.3445803131,0.0166433448851,6.26936670011,0.0,0.0439346026226,0.042243206752,1.54416921921,0.0434075220669,-0.0177651115243,0.0,489.8393392241548,490.51387916588993,489.74679789924943,489.7744136726948
0.5400000000000001,0.00939738397131,0.00832133683725,10.4442288279,0.0197005469326,6.26829328614,0.0,0.0555812580774,0.0566829892833,1.77710693622,0.062880557891,-0.0181416417679,0.0,479.76839011537703,479.73989637710065,478.6242844732457,480.10529493904505
0.6000000000000002,0.013068199091,0.0121762617195,10.5554441375,0.0235722117205,6.26698767997,0.0,0.0669055569105,0.0722292323289,1.92981304323,0.067632431944,-0.030209881869,0.0,457.3958273531918,456.43375826433777,455.7567773405383,456.13932450904025
0.6600000000000003,0.017434776267,0.0170279758067,10.6748700901,0.0274979073329,6.26501582873,0.0,0.078841722146,0.0899092484554,2.05082752157,0.0606114187977,-0.0387843192593,0.0,447.8243676035301,447.12598239295966,447.2548325329575,446.6857990515397
0.7200000000000003,0.0225860195651,0.0230606897807,10.8029139481,0.030979142223,6.26211868172,0.0,0.0931323968504,0.11157065586,2.216975229,0.052260033917,-0.0853335896491,0.0,462.65666114235324,458.9751977940698,462.5773227320269,461.92142063115676
0.7800000000000004,0.0286713858506,0.0304680764944,10.9408636618,0.0336785220429,6.25709853026,0.0,0.110270991518,0.135663969626,2.38099505176,0.0236179882419,-0.0805344126262,0.0,461.6376814589792,462.0107630342411,462.4745186593637,460.21409577532734
0.8400000000000004,0.0358907512748,0.0393667318492,11.0884137997,0.0352381580703,6.25176912211,0.0,0.130914515853,0.161110044194,2.53698529511,0.0303657763059,-0.115675106291,0.0,461.23844197827606,458.44788566805613,459.67385391239463,460.20836022708914
0.9000000000000005,0.0446074634997,0.0499705108478,11.2493166014,0.0369216123601,6.24503958916,0.0,0.160507758541,0.192551954131,2.82573011116,0.0229883342337,-0.105924570419,0.0,499.7099235802559,500.41048288510774,498.6997401302027,498.16070559397536
0.9600000000000005,0.0552065917854,0.0624384703435,11.4258109713,0.0381267715722,6.23870994231,0.0,0.193543107174,0.223180414352,3.05678299126,0.0135374575842,-0.104647510078,0.0,483.8987242775106,483.9861106559032,484.9862941275887,484.2758768465234
1.0200000000000005,0.0677335154391,0.0765951204561,11.6115727794,0.0387062948176,6.23260383683,0.0,0.224622294347,0.248767649426,3.13502699129,0.000480443237751,-0.0965597579157,0.0,438.81214661343455,439.4738827236565,440.1575826779066,439.0755483231068
1.0800000000000005,0.0822715672811,0.0923152091544,11.8025287869,0.0389935736521,6.22715032361,0.0,0.260532659245,0.275239559318,3.22987038129,0.0122492670963,-0.0814627538074,0.0,444.88595475553,446.11336421342764,444.3402880094963,445.3039937961017
1.1400000000000006,0.0992690349048,0.109766666529,12.0026165431,0.039237764728,6.22271341062,0.0,0.306561093774,0.30651842248,3.43906927115,-0.0221522806323,-0.062063583821,0.0,479.7497383612737,481.2164862823097,481.51940080138763,478.90982393132134
1.2000000000000006,0.119132879158,0.129093056716,12.2152977775,0.038261652054,6.21881144961,0.0,0.355975994074,0.337531771416,3.64962082243,-0.00653429565278,-0.0717495830903,0.0,482.3945292807014,481.65975120460564,481.4538147156674,482.6341419482562
1.2600000000000007,0.141974945284,0.150211597432,12.4393410173,0.0379345114806,6.21414735741,0.0,0.405886661408,0.366354669983,3.81789305228,-0.00337168612047,-0.0937184752456,0.0,471.5983379012483,469.8936322069934,471.13539129839506,471.3799581552585
